Id,Company,CPU,RAM,Bus,SSD,HDD,GPU_name,GPU_ram,Screen,resolution,Weight(kg),Price(dong)
199,Dell,Intel Core i7-1165G7,8 GB,4266 MHz,512,0,NVIDIA GeForce MX350,2,13.3, 1920 x 1080,1.25,26990000
200,HP,AMD Ryzen 7-4700U,8 GB,3200 MHz,256,0,On board,0,13.3, 1920 x 1080,1.32,26690000
201,Dell,Intel Core i5-1135G7,8 GB,3200 MHz,512,0,NVIDIA GeForce MX330,2,14, 1920 x 1080,1.72,24490000
202,Lenovo,Intel Core i5-10300H,8 GB,2933 MHz,512,0,NVIDIA GeForce GTX 1650,4,15.6, 1920 x 1080,2.3,23790000
203,Dell,Intel Core i7-1165G7,8 GB,3200 MHz,512,0,NVIDIA GeForce MX330,2,15.6, 1920 x 1080,1.96,21390000
204,Dell,Intel Core i5-1135G7,8 GB,3200 MHz,512,0,On board,0,14, 1920 x 1080,1.72,21190000
205,Lenovo,Intel Core i5-10300H,8 GB,2933 MHz,512,0,NVIDIA GeForce GTX 1650,4,15.6, 1920 x 1080,2.2,20990000
206,Lenovo,AMD Ryzen 7-4800H,8 GB,3200 MHz,512,0,NVIDIA GeForce GTX 1650,4,15.6, 1920 x 1080,2.2,19790000
207,Dell,Intel Core i5-1135G7,8 GB,3200 MHz,512,0,NVIDIA GeForce MX330,2,15.6, 1920 x 1080,1.96,18590000
208,Lenovo,Intel Core i5-1135G7,8 GB,3200 MHz,512,0,On board,0,14, 1920 x 1080,1.5,17590000
209,Dell,Intel Core i5-1035G1,8 GB,2666 MHz,256,0,On board,0,14, 1920 x 1080,1.66,15690000
210,HP,Intel Core i5-1035G1,4 GB,2666 MHz,512,0,On board,0,15.6, 1366 x 768,1.65,14890000
211,Dell,Intel Core i3-1115G4,8 GB,2666 MHz,256,0,On board,0,14, 1920 x 1080,1.64,11990000
212,Lenovo,Intel Core i3-1005G1,4 GB, 2666 MHz,512,0,On board,0,15.6,1920 x 1080,1.8,11690000
213,Lenovo,Intel Core i5-1035G1,8 GB, 2666 MHz,512,0,On board,0,14,1920 x 1080,1.6,14390000
214,Lenovo,Intel Core i5-1135G7,8 GB, 3200 MHz,512,0,On board,0,15.6,1920 x 1080,1.66,17490000
215,Acer,Intel Core i3-8130U,4 GB, 2400 MHz,256,0,On board,0,15.6,1920 x 1080,1.7,10790000
216,Acer,Intel Core i5-1035G1,8 GB, 2400 MHz,512,0,On board,0,15.6,1920 x 1080,1.7,15190000
217,Apple,Intel Core i5-5250U,8 GB, 1600 MHz,128,0,On board,0,13.3,1440 x 900,1.35,18990000
218,HP,Intel Core i3-1005G1,4 GB, 2666 MHz,256,0,On board,0,15.6,1920 x 1080,1.69,11190000
219,HP,Intel Core i3-8130U,4 GB, 2666 MHz,256,0,On board,0,14,1920 x 1080,1.5,11190000
220,Asus,Intel Core i5-1135G7,8 GB, 3200 MHz,512,0,On board,0,14,1920 x 1080,1.4,17290000
221,Dell,Intel Core i5-1135G7,8 GB, 3200 MHz,256,0,On board,0,14,1920 x 1080,1.41,18290000
222,Lenovo,Intel Core i3-1005G1,4 GB, 2666 MHz,256,0,On board,0,15.6,1920 x 1080,1.79,10340000
223,HP,Intel Core i3-1005G1,4 GB, 2666 MHz,256,0,On board,0,15.6,1920 x 1080,1.69,11190000
224,Asus,Intel Core i3-1005G1,4 GB, 2666 MHz,256,0,On board,0,15.6,1920 x 1080,1.73,10690000
225,HP,Intel Core i3-8130U,4 GB, 2666 MHz,256,0,On board,0,14,1920 x 1080,1.5,11190000
226,Acer,Intel Core i3-8130U,4 GB, 2400 MHz,256,0,On board,0,15.6,1920 x 1080,1.7,10790000
227,Asus,Intel Core i5-1135G7,8 GB, 3200 MHz,512,0,On board,0,14,1920 x 1080,1.4,17290000
228,Apple,Intel Core i5-5250U,8 GB, 1600 MHz,128,0,On board,0,13.3,1440 x 900,1.35,18990000
229,Asus,Intel Core i5-1135G7,8 GB, 3200 MHz,512,0,On board,0,14,1920 x 1080,1.4,16990000
230,Asus,Intel Core i3-1115G4,4 GB, 3200 MHz,512,0,On board,0,14,1920 x 1080,1.4,13490000
231,Asus,Intel Core i5-1035G1,8 GB, 2666 MHz,512,0,NVIDIA GeForce MX330,2,15.6,1920 x 1080,1.73,16890000
232,HP,Intel Core i3-8130U,4 GB, 2666 MHz,512,0,On board,0,14,1920 x 1080,1.5,12190000
233,Dell,Intel Core i5-1135G7,8 GB, 3200 MHz,256,0,On board,0,15.6,1920 x 1080,1.7,18690000
234,Asus,Intel Core i5-1035G1,8 GB, 2666 MHz,512,0,On board,0,14,1920 x 1080,1.47,15190000
235,Asus,Intel Core i3-1115G4,8 GB, 3200 MHz,512,0,On board,0,15.6,1920 x 1080,1.8,14490000
236,Asus,Intel Pentium-N5030,4 GB, 2666 MHz,512,0,On board,0,15.6,1920 x 1080,1.8,8790000
237,HP,Intel Core i5-10210U,8 GB, 2666 MHz,512,0,On board,0,15.6,1920 x 1080,1.7,16190000
238,Lenovo,Intel Core i5-1035G1,8 GB, 2666 MHz,512,0,On board,0,15.6,1920 x 1080,1.79,14990000
239,HP,Intel Core i5-1135G7,8 GB, 3200 MHz,512,0,On board,0,15.6,1920 x 1080,1.592,16690000
240,Dell,Intel Core i5-1135G7,8 GB, 3200 MHz,256,0,On board,0,14,1920 x 1080,1.41,18290000
241,Acer,Intel Core i5-8265U,4 GB, 2400 MHz,0,1000,On board,0,15.6,1920 x 1080,2,14690000
242,Dell,Intel Core i7-10510U,8 GB, 2666 MHz,256,0,AMD Radeon 610R5,2,15.6,1920 x 1080,1.99,20490000
243,HP,Intel Core i3-1005G1,4 GB, 2666 MHz,256,0,NVIDIA Geforce MX130,2,15.6,1920 x 1080,1.75,12190000
244,Asus,Intel Core i3-1115G4,4 GB, 3200 MHz,512,0,On board,0,14,1920 x 1080,1.4,13990000
245,Asus,Intel Core i3-1005G1,4 GB, 2666 MHz,512,0,On board,0,14,1920 x 1080,1.5,11390000
246,HP,Intel Core i3-1005G1,4 GB, 3200 MHz,256,0,On board,0,14,1920 x 1080,1.65,13990000
247,Lenovo,Intel Core i5-1035G1,8 GB, 2666 MHz,512,0,On board,0,14,1920 x 1080,1.6,14390000
248,HP,Intel Core i7-1165G7,8 GB, 3200 MHz,512,0,On board,0,15.6,1920 x 1080,1.592,18090000
249,Lenovo,Intel Core i3-1005G1,4 GB, 2666 MHz,512,0,On board,0,15.6,1920 x 1080,1.8,11690000
250,HP,Intel Core i3-1005G1,4 GB, 2666 MHz,512,0,On board,0,14,1920 x 1080,1.346,12490000
251,Lenovo,Intel Core i3-1005G1,8 GB, 2666 MHz,512,0,On board,0,14,1920 x 1080,1.6,12590000
252,Dell,Intel Core i3-1005G1,4 GB, 2666 MHz,256,0,On board,0,14,1920 x 1080,1.66,10890000
253,Dell,Intel Core i5-8265U,4 GB, 2666 MHz,0,1000,On board,0,15.6,1920 x 1080,1.9,15790000
254,Acer,Intel Core i5-1035G1,8 GB, 2400 MHz,512,0,On board,0,15.6,1920 x 1080,1.7,15190000
255,Lenovo,Intel Core i3-1005G1,4 GB, 2666 MHz,512,0,On board,0,15.6,1920 x 1080,1.85,12790000
256,Asus,Intel Pentium-N5030,4 GB, 2666 MHz,512,0,On board,0,15.6,1920 x 1080,1.9,8790000
257,Dell,Intel Core i5-1035G1,8 GB, 2666 MHz,256,0,NVIDIA GeForce MX230,2,15.6,1920 x 1080,2.05,17790000
258,Lenovo,Intel Core i5-1135G7,8 GB, 3200 MHz,512,0,On board,0,15.6,1920 x 1080,1.66,17490000
259,Lenovo,Intel Core i5-1035G1,8 GB, 3200 MHz,512,0,On board,0,14,1920 x 1080,1.5,16190000
260,Acer,Intel Core i3-1005G1,4 GB, 2400 MHz,256,0,On board,0,15.6,1920 x 1080,1.7,11790000
261,Asus,Intel Core i3-10110U,4 GB, 2666 MHz,512,0,On board,0,14,1920 x 1080,1.406,12490000
262,HP,Intel Core i3-1005G1,4 GB, 2666 MHz,256,0,On board,0,15.6,1920 x 1080,1.69,13390000
263,Dell,Intel Core i3-1005G1,4 GB, 2666 MHz,256,0,On board,0,14,1920 x 1080,1.64,12790000
264,Asus,Intel Core i5-10300H,8 GB, 2933 MHz,512,0,NVIDIA GeForce GTX 1650Ti,4,15.6,1920 x 1080,2.3,23990000
265,Asus,Intel Core i3-10110U,4 GB, 2666 MHz,512,0,On board,0,14,1920 x 1080,1.406,12890000
266,HP,Intel Core i5-1135G7,8 GB, 2933 MHz,256,0,On board,0,13.3,1920 x 1080,1.236,22590000
267,Dell,Intel Core i5-1035G1,8 GB, 2666 MHz,512,0,On board,0,15.6,1920 x 1080,1.83,17790000
268,Asus,Intel Core i7-1065G7,8 GB, 2666 MHz,512,0,On board,0,15.6,1920 x 1080,1.8,18690000
269,Dell,Intel Core i5-8265U,4 GB, 2666 MHz,0,1000,NVIDIA Geforce MX130,2,15.6,1920 x 1080,1.91,17290000
270,Asus,Intel Core i5-1135G7,8 GB, 4266 MHz,512,0,On board,0,14,1920 x 1080,1.17,22490000
271,Acer,Intel Core i5-10300H,8 GB, 2933 MHz,512,0,NVIDIA GeForce GTX 1650Ti,4,15.6,1920 x 1080,2.3,23690000
272,Apple,Apple M1,8 GB,8 GB,256,0,On board,0,13.3,2560 x 1600,1.4,34990000
273,Dell,Intel Core i7-1165G7,16 GB, 3200 MHz,512,0,NVIDIA GeForce MX330,2,14,1920 x 1080,1.36,25090000
274,Apple,Apple M1,8 GB,8 GB,512,0,On board,0,13.3,2560 x 1600,1.4,39990000
275,Asus,Intel Pentium-N5000,4 GB, 2666 MHz,512,0,On board,0,15.6,1920 x 1080,1.8,8790000
276,Acer,Intel Core i3-1005G1,8 GB, 2400 MHz,512,0,On board,0,15.6,1920 x 1080,1.7,13790000
277,Asus,Intel Core i5-10210U,8 GB, 2666 MHz,512,0,On board,0,14,1920 x 1080,1.406,15890000
278,Lenovo,Intel Core i5-1035G1,8 GB, 3200 MHz,512,0,On board,0,14,1920 x 1080,1.52,16690000
279,HP,Intel Core i5-1135G7,8 GB, 2933 MHz,512,0,On board,0,13.3,1920 x 1080,1.236,23290000
280,Acer,Intel Core i3-8130U,4 GB, 2400 MHz,0,1000,On board,0,15.6,1920 x 1080,1.7,13290000
281,Apple,Apple M1,8 GB,8 GB,256,0,On board,0,13.3,2560 x 1600,1.29,28990000
282,Huawei,AMD Ryzen 5-3500U,8 GB, 2400 MHz,256,0,On board,0,15.6,1920 x 1080,1.62,15790000
283,Acer,Intel Core i5-1035G1,8 GB, 2666 MHz,512,0,NVIDIA® GeForce® MX350,2,14,1920 x 1080,1.5,18190000
284,Acer,Intel Core i5-1035G1,8 GB, 2400 MHz,512,0,On board,0,15.6,1920 x 1080,1.7,16890000
285,Lenovo,Intel Core i7-10750H,8 GB, 2933 MHz,512,0,NVIDIA GeForce GTX 1650,4,15.6,1920 x 1080,2.2,23490000
286,Lenovo,Intel Core i7-1065G7,8 GB, 2666 MHz,512,0,On board,0,14,1920 x 1080,1.6,18290000
287,Asus,Intel Core i7-10750H,8 GB, 2933 MHz,512,0,NVIDIA GeForce GTX 1650Ti,4,15.6,1920 x 1080,2.3,28490000
288,Asus,Intel Core i5-10210U,8 GB, 2666 MHz,512,0,On board,0,14,1920 x 1080,1.406,16190000
289,Lenovo,Intel Core i3-10110U,4 GB, 2666 MHz,256,0,On board,0,14,1920 x 1080,1.5,11240000
290,Acer,Intel Core i5-8250U,4 GB, 2400 MHz,0,1000,On board,0,14,1920 x 1080,1.5,15990000
291,Lenovo,Intel Core i5-1035G1,8 GB, 3200 MHz,512,0,On board,0,14,1920 x 1080,1.5,18690000
292,Dell,Intel Core i5-1135G7,8 GB, 3200 MHz,512,0,On board,0,14,1920 x 1080,1.72,21490000
293,Asus,Intel Core i5-8265U,4 GB, 2400 MHz,0,1000,NVIDIA Geforce MX150,2,15.6,1920 x 1080,1.76,14470000
294,Lenovo,Intel Core i3-1005G1,8 GB, 3200 MHz,512,0,On board,0,15.6,1920 x 1080,1.7,14790000
295,Acer,Intel Core i5-1035G1,8 GB, 2666 MHz,512,0,On board,0,14,1920 x 1080,1.5,16690000
296,Lenovo,Intel Core i5-1035G4,8 GB, 2666 MHz,512,0,On board,0,15.6,1920 x 1080,1.85,15490000
297,Acer,Intel Core i3-1005G1,4 GB, 2400 MHz,512,0,On board,0,15.6,1920 x 1080,1.7,12790000
298,Apple,Apple M1,8 GB,8 GB,256,0,On board,0,13.3,2560 x 1600,1.29,28990000
299,Acer,Intel Core i5-8250U,4 GB, 2400 MHz,0,1000,On board,0,15.6,1920 x 1080,1.7,16690000
300,Asus,Intel Core i5-10210U,8 GB, 2666 MHz,512,0,NVIDIA GeForce MX250,2,15.6,1920 x 1080,1.67,17790000
301,HP,Intel Core i3-7020U,4 GB, 2133 MHz,0,1000,NVIDIA GeForce MX110,2,15.6,1920 x 1080,1.74,12190000
302,HP,Intel Core i7-1065G7,8 GB, 3200 MHz,512,0,On board,0,13.3,1920 x 1080,1.25,27490000
303,Dell,Intel Core i5-1135G7,8 GB, 3200 MHz,512,0,NVIDIA GeForce MX330,2,15.6,1920 x 1080,1.65,21190000
304,MSI,Intel Core i7-10750H,16 GB, 2666 MHz,512,0,NVIDIA GeForce GTX 1660Ti,6,15.6,1920 x 1080,2.3,32990000
305,HP,Intel Core i7-1165G7,8 GB, 2933 MHz,512,0,On board,0,13.3,1920 x 1080,1.236,28190000
306,Huawei,AMD Ryzen 5-3500U,8 GB, 2400 MHz,512,0,On board,0,15.6,1920 x 1080,1.62,16290000
307,Acer,Intel Core i3-1115G4,4 GB, 2666 MHz,256,0,On board,0,14,1920 x 1080,1.46,13390000
308,HP,Intel Core i3-8145U,4 GB, 2666 MHz,0,1000,On board,0,14,1920 x 1080,1.6,12790000
309,Apple,Apple M1,8 GB,8 GB,512,0,On board,0,13.3,2560 x 1600,1.29,34990000
310,Asus,AMD Ryzen 3-4300U,4 GB, 3200 MHz,256,0,On board,0,14,1920 x 1080,1.5,13290000
311,Apple,Apple M1,8 GB,8 GB,256,0,On board,0,13.3,2560 x 1600,1.29,28990000
312,Asus,Intel Core i5-10210U,8 GB, 2666 MHz,512,0,On board,0,15.6,1920 x 1080,1.65,16690000
313,Asus,Intel Core i5-8265U,4 GB, 2400 MHz,0,1000,On board,0,14,1920 x 1080,1.4,13110000
314,HP,Intel Core i7-10510U,8 GB, 2400 MHz,512,0,NVIDIA GeForce MX250,2,13.3,1920 x 1080,1.17,29490000
315,Lenovo,Intel Core i5-1035G4,8 GB, 3200 MHz,512,0,On board,0,14,1920 x 1080,1.55,22190000
316,Asus,Intel Core i3-8145U,4 GB, 2400 MHz,0,1000,On board,0,15.6,1920 x 1080,1.8,11350000
317,Lenovo,Intel Core i3-1005G1,8 GB, 3200 MHz,512,0,On board,0,14,1920 x 1080,1.5,16290000
318,Lenovo,Intel Core i7-1065G7,8 GB, 3200 MHz,512,0,On board,0,14,1920 x 1080,1.5,22290000
319,Lenovo,Intel Core i3-10110U,8 GB, 2666 MHz,512,0,On board,0,14,1920 x 1080,1.59,16090000
320,Acer,Intel Core i3-1115G4,4 GB, 2666 MHz,512,0,On board,0,14,1920 x 1080,1.46,14290000
321,Lenovo,Intel Core i7-8565U,8 GB, 2400 MHz,512,0,NVIDIA GeForce MX110,2,15.6,1920 x 1080,1.73,18090000
322,Acer,Intel Core i7-10870H,8 GB, 2933 MHz,512,0,NVIDIA GeForce GTX 1650Ti,4,15.6,1920 x 1080,2.3,28990000
323,Asus,Intel Core i7-8550U,4 GB, 2400 MHz,0,1000,NVIDIA Geforce MX130,2,15.6,1920 x 1080,1.8,16690000
324,Lenovo,Intel Core i5-1035G1,8 GB, 3200 MHz,512,0,NVIDIA GeForce MX330,2,15.6,1920 x 1080,1.7,18690000
325,Acer,Intel Core i5-8265U,8 GB, 2400 MHz,256,0,On board,0,14,1920 x 1080,940,23690000
326,Acer,Intel Core i5-1035G1,8 GB, 2666 MHz,512,0,NVIDIA GeForce MX250,2,14,1920 x 1080,1.19,19690000
327,Acer,Intel Core i5-8265U,4 GB, 2666 MHz,0,1000,On board,0,14,1280 x 720,1.9,14690000
328,Dell,Intel Core i5-1135G7,8 GB, 4267 MHz,512,0,On board,0,13.4,1920 x 1200,1.2,38490000
329,Asus,Intel Core i7-8550U,4 GB, 2400 MHz,0,1000,NVIDIA Geforce MX130,2,14,1366 x 768,1.54,16390000
330,Acer,Intel Core i5-1035G1,8 GB, 2666 MHz,512,0,On board,0,14,1920 x 1080,1.19,18690000
331,Dell,Intel Core i5-8265U,8 GB, 2666 MHz,0,2,NVIDIA Geforce MX130,2,15.6,1920 x 1080,1.95,21390000
332,Acer,Intel Core i5-8265U,4 GB, 2133 MHz,256,0,On board,0,14,1920 x 1080,1.5,17690000
333,Apple,Apple M1,8 GB,8 GB,512,0,On board,0,13.3,2560 x 1600,1.29,34990000
334,Dell,Intel Core i5-1135G7,8 GB, 4267 MHz,512,0,NVIDIA GeForce MX330,2,15.6,1920 x 1080,1.64,21490000
335,Lenovo,Intel Core i7-10750H,8 GB, 2933 MHz,256,0,NVIDIA GeForce GTX 1650,4,15.6,1920 x 1080,2.3,28490000
336,Asus,Intel Core i7-8550U,4 GB, 2400 MHz,0,1000,NVIDIA GeForce MX110,2,15.6,1366 x 768,1.8,16390000
337,Lenovo,Intel Core i7-10510U,8 GB, 2666 MHz,512,0,On board,0,13,2160x1350,0.3695,29490000
338,Dell,Intel Core i7-8565U,8 GB, 2666 MHz,256,0,AMD Radeon 520,2,15.6,1920 x 1080,2.28,21490000
339,Lenovo,Intel Core i7-1065G7,8 GB, 3200 MHz,512,0,On board,0,14,1920 x 1080,1.55,24990000
340,Asus,Intel Core i7-8550U,4 GB, 2400 MHz,0,1000,NVIDIA GeForce MX110,2,15.6,1366 x 768,1.8,16390000
341,Lenovo,Intel Core i3-1005G1,8 GB, 2666 MHz,512,0,On board,0,15.6,1920 x 1080,1.79,14090000
342,Lenovo,Intel Core i5-10210U,8 GB, 2666 MHz,512,0,On board,0,13,2160x1350,0.3695,26690000
343,Dell,Intel Core i5-8265U,4 GB, 2666 MHz,256,0,On board,0,13.3,1920 x 1080,2,20290000
344,Asus,Intel Core i3-8145U,4 GB, 2400 MHz,512,0,On board,0,14,1920 x 1080,1.5,12290000
345,Acer,Intel Core i3-8145U,4 GB, 2400 MHz,256,0,On board,0,14,1920 x 1080,1.45,14290000
346,Acer,Intel Core i7-8550U,8 GB, 2400 MHz,128,0,NVIDIA Geforce MX150,2,15.6,1920 x 1080,1.7,23090000
347,HP,Intel Core i5-8265U,4 GB, 2400 MHz,0,1000,On board,0,15.6,1920 x 1080,1.74,14390000
348,Lenovo,Intel Core i5-1035G4,8 GB, 2666 MHz,512,0,On board,0,15.6,1920 x 1080,1.79,15990000
349,Lenovo,Intel Core i5-8250U,4 GB, 2133 MHz,0,1000,On board,0,15.6,1920 x 1080,2.2,12690000
350,Lenovo,Intel Core i5-8265U,8 GB, 2133 MHz,512,0,On board,0,13.3,1920 x 1080,1.09,23690000
351,Dell,Intel Core i5-1135G7,8 GB, 4267 MHz,512,0,On board,0,15.6,1920 x 1080,1.7,20490000
352,Dell,Intel Core i5-8265U,4 GB, 2400 MHz,0,1000,NVIDIA Geforce MX130,2,15.6,1920 x 1080,1.95,17290000
353,HP,Intel Core i5-1035G4,8 GB, 3200 MHz,256,0,On board,0,13.3,1920 x 1080,1.258,21690000
354,Acer,Intel Core i5-8265U,4 GB, 2400 MHz,0,1000,On board,0,15.6,1920 x 1080,1.7,11690000
355,LG,Intel Core i5-1035G7,8 GB, 3200 MHz,512,0,On board,0,15.6,1920 x 1080,1.12,33990000
356,Lenovo,Intel Core i5-8265U,8 GB, 2133 MHz,256,0,On board,0,14,1920 x 1080,1.6,17190000
357,Acer,Intel Core i7-8565U,8 GB, 2133 MHz,256,0,On board,0,14,1920 x 1080,940,27490000
358,LG,Intel Core i5-1035G7,8 GB, 3200 MHz,256,0,On board,0,14,1920 x 1080,0.999,28990000
359,LG,Intel Core i7-1065G7,8 GB, 3200 MHz,512,0,On board,0,17,2560 x 1600,1.35,38490000
360,Asus,Intel Core i3-8145U,4 GB, 2400 MHz,512,0,On board,0,14,1920 x 1080,1.5,12790000
361,Dell,Intel Core i5-1135G7,8 GB, 4267 MHz,512,0,On board,0,13.3,1920 x 1080,1.06,20990000
362,HP,Intel Core i5-10210U,8 GB, 2666 MHz,256,0,NVIDIA Quadro P520,4,14,1920 x 1080,1.41,31590000
363,Dell,Intel Core i7-1165G7,16 GB, 4267 MHz,512,0,On board,0,13.4,3840 x 2400,1.32,58990000
364,Acer,Intel Core i7-8550U,4 GB, 2133 MHz,0,1000,NVIDIA Geforce MX130,2,15.6,1920 x 1080,2.23,16990000
365,Acer,Intel Core i5-8250U,8 GB, 2400 MHz,256,0,On board,0,13.3,1920 x 1080,1.56,21190000
366,Acer,Intel Core i3-8145U,4 GB, 2666 MHz,0,500,On board,0,14,1280 x 720,1.9,11590000
367,HP,Intel Core i5-8265U,4 GB, 2666 MHz,0,1000,NVIDIA Geforce MX130,2,15.6,1920 x 1080,1.82,16190000
368,Lenovo,Intel Core i7-10510U,8 GB, 2666 MHz,512,0,On board,0,14,1920 x 1080,1.5,21490000
369,Acer,Intel Core i7-10750H,8 GB, 2933 MHz,512,0,NVIDIA GeForce GTX 1650Ti,4,15.6,1920 x 1080,2.3,28790000
370,Dell,Intel Core i7-10750H,8 GB, 2933 MHz,512,0,NVIDIA GeForce GTX 1660Ti,6,15.6,1920 x 1080,2.65,30790000
371,Lenovo,Intel Core i7-8550U,8 GB, 2666 MHz,256,0,On board,0,14,1920 x 1080,1.54,20490000
372,Dell,Intel Core i5-1135G7,8 GB, 4267 MHz,256,0,On board,0,13.4,1920 x 1200,1.32,41490000
373,Lenovo,Intel Core i3-8145U,8 GB, 2133 MHz,256,0,On board,0,14,1920 x 1080,1.6,15290000
374,HP,Intel Core i3-8145U,4 GB, 2666 MHz,0,1000,On board,0,15.6,1920 x 1080,1.75,13090000
375,Dell,Intel Core i5-1135G7,8 GB, 4267 MHz,512,0,On board,0,13.3,1920 x 1080,1.37,27390000
376,LG,Intel Core i5-1035G7,8 GB,3200 MHz,256,0,On board,0,14,1920 x 1080,0.999,27990000
377,LG,Intel Core i7-1065G7,8 GB,3200 MHz,512,0,On board,0,17,2560 x 1600,1.35,35990000
378,LG,Intel Core i5-1035G7,8 GB,3200 MHz,512,0,On board,0,15,1920 x 1080,1.12,31990000
379,LG,Intel Core i5-1035G7,8 GB,3200 MHz,256,0,On board,0,14,1920 x 1080,0.999,24990000
380,LG,Intel Core i5-1035G7,8 GB,3200 MHz,512,0,On board,0,14,1920 x 1080,0.999,26990000
381,LG,Intel Core i5-1035G7,8 GB,3200 MHz,512,0,On board,0,15,1920 x 1080,1.12,28990000
382,Acer,Intel Core i7-9750H,16 GB,2666 MHz,512,0,NVIDIA GeForce RTX 2060,6,15.6,1920 x 1080,2.4,35990000
383,MSI,Intel Core i7-9750H,8 GB,2666 MHz,512,0,NVIDIA GeForce GTX 1650Ti,4,15.6,1920 x 1080,1.86,21990000
384,MSI,Intel Core i7-9750H,8 GB,2666 MHz,256,0,NVIDIA GeForce GTX 1650,4,15.6,1920 x 1080,1.86,20990000
385,MSI,Intel Core i5-9300H,8 GB,2666 MHz,256,0,NVIDIA GeForce GTX 1650,4,15.6,1920 x 1080,1.86,17990000
386,ASUS,Intel Core i7-1165G7,16 GB,3200 MHz,512,0,NVIDIA GeForce MX350,2,15.6,1920 x 1080,1.8,23990000
387,ASUS,Intel Core i5-1135G7,8 GB,3200 MHz,512,0,NVIDIA GeForce MX350,2,15.6,1920 x 1080,1.8,21290000
388,Acer,Intel Core i5-10300H,16 GB,2933 MHz,512,0,NVIDIA GeForce RTX 2060,6,15.6,1920 x 1080,2.3,28490000
389,ASUS,Intel Core i5-10210U,8 GB,0 MHz,0,0,On board,0,14,1920 x 1080,0.995,32990000
390,HP,Intel Core i3-1115G4,4 GB,3200 MHz,256,0,On board,0,15.6,1920 x 1080,1.75,14190000
391,MSI,Intel Core i3-10110U,8 GB,3200 MHz,256,0,On board,0,14,1920 x 1080,1.29,13990000
392,MSI,Intel Core i5-1135G7,8 GB,3200 MHz,512,0,On board,0,15.6,1920 x 1080,1.6,18990000
393,ASUS,Intel Core i7-10750H,8 GB,3200 MHz,512,0,NVIDIA GeForce GTX 1650Ti,4,15.6,1920 x 1080,2.3,25990000
394,HP,Intel Core i9-10885H,32 GB,2933 MHz,1000,0,NVIDIA GeForce GTX 1650Ti,4,15.6,1920 x 1080,1.8,84990000
395,HP,Intel Core i7-10750H,16 GB,2933 MHz,0,0,NVIDIA GeForce GTX 1650Ti,4,15.6,1920 x 1080,1.8,61490000
396,ASUS,Intel Core i3-1115G4,4 GB,2666 MHz,256,0,On board,0,14,1920 x 1080,1.4,12290000
397,HP,Intel Core i7-1165G7,16 GB,2933 MHz,1000,0,On board,0,13.3,1920 x 1080,1.31,31490000
398,HP,Intel Core i7-1165G7,8 GB,3200 MHz,512,0,On board,0,13.3,1920 x 1080,1.3,26490000
399,HP,Intel Core i5-1135G7,8 GB,3200 MHz,256,0,On board,0,13.3,1920 x 1080,1.3,21990000
400,HP,Intel Core i5-1135G7,8 GB,2666 MHz,512,0,On board,0,13.3,1920 x 1080,1.3,22990000
401,Avita,AMD Ryzen 7-3700U,8 GB,2400 MHz,512,0,On board,0,14,1920 x 1080,1.3,14490000
402,Lenovo,Intel Core i7-10870H,16 GB,3200 MHz,1000,0,NVIDIA GeForce RTX 2060,6,15.6,1920 x 1080,2.25,54990000
403,MSI,Intel Core i7-1185G7,16 GB,3200 MHz,512,0,NVIDIA GeForce GTX 1650,4,15.6,1920 x 1080,1.69,32990000
